기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20203,11140625,다산동,4545314,2120454,2424860,482079,742754,814725,733322,658652,1113781,1179931,952491,551642,543420,735883,581949,660981,664212,660330,664262,662488,621515,611527
20204,11140625,다산동,4449658,2084954,2364705,475014,715896,801548,730259,648323,1078619,1133539,933655,548342,539303,728891,565930,652369,654564,655121,644449,636025,604452,602679
20211,11140625,다산동,4430567,2075514,2355053,497055,694637,790539,723832,651416,1073089,1131051,928044,546083,536709,726806,561874,643838,649678,647476,643297,635860,606731,603686
20212,11140625,다산동,4426072,2068273,2357799,515874,704624,789815,728439,644026,1043293,1130005,929263,547847,535583,722037,561335,645909,648325,640906,650026,647406,600434,593066
20213,11140625,다산동,4077638,1901733,2175905,479827,631830,725814,669885,593457,976822,1033343,859968,508188,499164,665822,511153,591223,595006,596329,599409,599790,551978,543903
20214,11140625,다산동,4106836,1934433,2172403,480106,643372,742194,668782,609862,962522,1028488,865399,516778,505759,676354,514060,596350,604817,605383,602897,599049,550257,548083
20221,11140625,다산동,4072270,1925389,2146881,471815,647028,733686,660358,601784,957599,1018673,858428,511985,501877,673245,508060,590603,589773,591768,598148,596042,554463,551472
20222,11140625,다산동,4295974,2019842,2276131,542286,687211,775094,685911,624920,980551,1089654,913803,534485,519359,699307,539365,625968,632689,625888,625183,626344,580838,579063
20223,11140625,다산동,4121578,1937552,2184027,507260,652587,755540,660594,601514,944080,1053621,881854,512448,498530,659919,515207,596908,607203,610292,605501,598322,551111,552241
20224,11140625,다산동,4286232,2014399,2271833,531095,664298,804268,686828,628171,971572,1075798,916431,543126,527133,692084,531663,621879,629947,627609,629384,623755,575065,578592
20231,11140625,다산동,4291608,2031824,2259785,520866,663499,803643,702282,629461,971857,1085523,913496,537903,524323,695238,535126,620877,624513,626574,630109,626794,582394,580348
