개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00535,2023-12-06,,1,영업/정상,1,영업,,,,,,41.28,133-835,서울특별시 성동구 성수동2가 315-61 성수역 SK V1 Tower,"서울특별시 성동구 연무장5가길 25, 성수역 SK V1 Tower 1층 115호 (성수동2가)",4782.0,성수 오징어,2023-12-06 17:04,I,08:00.0,한식
3030000,3030000-104-2023-00164,2023-12-07,,1,영업/정상,1,영업,,,,,02  512 6756,79.18,133-827,서울특별시 성동구 성수동2가 322-2 삼화당피앤티,"서울특별시 성동구 뚝섬로13길 33, 1층 (성수동2가)",4784.0,원밀리언,2023-12-07 16:08,I,09:00.0,기타 휴게음식점
3030000,3030000-101-2023-00536,2023-12-07,,1,영업/정상,1,영업,,,,,,171,133-823,서울특별시 성동구 성수동1가 656-405,"서울특별시 성동구 왕십리로10길 9-9, 지1층 (성수동1가)",4778.0,어린달,2023-12-07 12:56,I,09:00.0,기타
3030000,3030000-101-2023-00537,2023-12-07,,1,영업/정상,1,영업,,,,,,96.36,133-831,서울특별시 성동구 성수동2가 273-13 태광산업,"서울특별시 성동구 연무장15길 11, 태광산업 가(C)동 2층 201호 (성수동2가)",4783.0,에이트(ATE),2023-12-07 17:02,I,09:00.0,"외국음식전문점(인도,태국등)"
3030000,3030000-104-2023-00163,2023-12-07,,1,영업/정상,1,영업,,,,,,80.61,133-835,서울특별시 성동구 성수동2가 317-5 호텔포코(HOTEL POCO),"서울특별시 성동구 성수이로 96, 호텔포코(HOTEL POCO) 1층 101호 (성수동2가)",4783.0,만동제과 성수점,2023-12-07 15:12,I,09:00.0,기타 휴게음식점
3030000,3030000-121-2023-00028,2023-12-08,,1,영업/정상,1,영업,,,,,,6.0,133-822,서울특별시 성동구 성수동1가 16-34,"서울특별시 성동구 연무장길 6-1, 1층 (성수동1가)",4781.0,현대붕어빵,2023-12-08 15:00,I,00:00.0,제과점영업
3030000,3030000-101-2023-00539,2023-12-12,,1,영업/정상,1,영업,,,,,,102.47,133-835,서울특별시 성동구 성수동2가 317-4 청운재,"서울특별시 성동구 연무장11길 15, 1층 (성수동2가)",4783.0,소루(SOLEW),2023-12-12 11:05,I,04:00.0,기타
3030000,3030000-101-2023-00542,2023-12-14,,1,영업/정상,1,영업,,,,,,39.5,133-827,서울특별시 성동구 성수동2가 322-13 (주)서울지류유통,"서울특별시 성동구 성수이로 74, 1층 (성수동2가)",4784.0,무신사 성수,2023-12-14 12:25,I,06:00.0,기타
3030000,3030000-104-2023-00165,2023-12-15,,1,영업/정상,1,영업,,,,,,299.18,133-825,서울특별시 성동구 성수동1가 685-484,"서울특별시 성동구 서울숲2길 24-8, 지1층, 1층, 2층 (성수동1가)",4768.0,섬타르 서울숲,2023-12-20 11:54,U,03:00.0,커피숍
3030000,3030000-101-2023-00545,2023-12-15,,1,영업/정상,1,영업,,,,,,29.7,133-822,서울특별시 성동구 성수동1가 14-39,"서울특별시 성동구 상원길 24, 1층 (성수동1가)",4779.0,백채김치찌개 서울숲점,2023-12-15 12:01,I,07:00.0,한식
3030000,3030000-101-2023-00544,2023-12-15,,1,영업/정상,1,영업,,,,,,84,133-832,서울특별시 성동구 성수동2가 277-56 삼양정밀,"서울특별시 성동구 아차산로11길 3, 1층 (성수동2가)",4797.0,아도르 성수,2023-12-15 11:13,I,07:00.0,기타
3030000,3030000-101-2023-00543,2023-12-15,,1,영업/정상,1,영업,,,,,,24.99,133-828,서울특별시 성동구 성수동2가 335-97,"서울특별시 성동구 성덕정15길 6-10, 1층 (성수동2가)",4775.0,닭치고 두루치고,2023-12-15 10:03,I,07:00.0,한식
