매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-19,11028,플레인782,문구 및 팬시,-,,,18000,,3,B235KA00300000F,당일취소건 추정
M012,이마트_월계점,2024-01-19,11027,플레인782,문구 및 팬시,볼펜set(데코4색),현금,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-19,11029,플레인782,문구 및 팬시,"볼펜, 지우개",카드,10000,,2,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11021,마니,여성의류,조끼,현금,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11023,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11022,마니,여성의류,골덴바지,카드,29000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11033,마니,여성의류,-,,,39000,,1,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-20,11026,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11017,마니,여성의류,목폴라,현금,,15000,,1,B235KA99400000F,1/19 판매분
M012,이마트_월계점,2024-01-20,11040,마니,여성의류,"조끼, 목폴라",카드,34000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11003,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11028,마니,여성의류,가디건,카드,19000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11067,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11014,마니,여성의류,"가디건, 티셔츠",카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11002,마니,여성의류,조끼,현금,19000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11008,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11037,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11042,마니,여성의류,가디건,카드,19000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11048,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11027,마니,여성의류,가디건,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11068,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11032,마니,여성의류,패딩스커트(브라운),카드,39000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11001,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11052,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11013,마니,여성의류,"목폴라조끼, 조끼",카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11006,마니,여성의류,스커트,상품권,78000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11041,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11018,마니,여성의류,-,,39000,,1,,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-20,11011,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11004,마니,여성의류,원피스,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11030,마니,여성의류,티셔츠,"상품권, 현금",29900,,1,,B235KA99400000F,"10000원 상품권, 19900원 현금"
M012,이마트_월계점,2024-01-20,11051,마니,여성의류,티셔츠,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11020,마니,여성의류,"골덴바지, 면바지",상품권,48900,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11039,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11036,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-20,11010,세영유니온,여성 모자,"H에코퍼쁘띠, H롱",카드,34000,,2,,B225KA02400000F,
M012,이마트_월계점,2024-01-20,11063,세영유니온,여성 모자,모자,카드,49000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-20,11045,세영유니온,여성 모자,니트머플러,카드,10000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-20,11007,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-20,11049,오브원,홈웨어,여하의,카드,15000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11054,오브원,홈웨어,여하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11012,오브원,홈웨어,남하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11005,오브원,홈웨어,여하의,카드,15000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11059,오브원,홈웨어,바지,카드,29000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11066,오브원,홈웨어,남set,카드,35000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-20,11045,윈드스카프,양말,"양말3, 니트1",카드,10000,,2,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11016,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11060,윈드스카프,양말,양말3,현금,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11025,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11031,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11062,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11058,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11009,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-20,11024,팔레트슬라임,슬라임,뉴업그레이드,카드,11500,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11015,팔레트슬라임,슬라임,요구르트,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11057,팔레트슬라임,슬라임,크림소다,카드,12500,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11055,팔레트슬라임,슬라임,메론소다,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11044,팔레트슬라임,슬라임,슬라임,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11043,팔레트슬라임,슬라임,메론소다,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11046,팔레트슬라임,슬라임,메론소다,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11038,팔레트슬라임,슬라임,메론소다,카드,8900,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11065,팔레트슬라임,슬라임,뉴업그레이드,카드,11500,,1,,B235KB67500000F,
M012,이마트_월계점,2024-01-20,11050,플레인782,문구 및 팬시,스티커,카드,6900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11064,플레인782,문구 및 팬시,무드등(시나모롤),현금,35000,,1,,B235KA00300000F,
