구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
기관/금융,양구곰취축제 곰산곰해,24.04.26 - 24.05.05,24.04.26,24.05.05,홍대,서울특별시 마포구 동교로38길 19 스몰타운스몰,"양구, 지역, 관광, 곰취, 막걸리, 주류, 술, 축제, 시음, 이벤트"
도서/문구,『분실물이 돌아왔습니다』 팝업스토어,24.04.26 - 24.05.19,24.04.26,24.05.19,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 6층 언커먼스토어,"밀리의서재, 모트모트, 독서, 도서, 취미, 문구, 문방구, 소설, 콜라보, 이벤트"
리빙/라이프스타일,TOWELKUN IN 스타필드 수원점 POP-UP,24.04.26 - 24.05.23,24.04.26,24.05.23,수원,경기도 수원시 장안구 수성로 175 신세계 스타필드 수원점 별마당도서관 2F,"송월타올, 수건, 타올군, 캐릭터, 수원, 스타필드, 럭키드로우, 사은품, 할인"
뷰티,리쥬란 팝업스토어,24.04.26 - 24.05.06,24.04.26,24.05.06,잠실,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 1층,"리쥬란, 더마코스메틱, 뷰티, 화장품, 피부, 잠실, 앰플, 이벤트, 사전예약, 포토존"
F&B,위니비니 팝업스토어,24.04.26 - 24.05.09,24.04.26,24.05.09,부산,부산광역시 해운대구 센텀남대로 35 신세계백화점센텀시티점 지하2층 하이퍼그라운드,"위니비니, 젤리, 간식, 사탕, 초콜릿, 디저트, 쇼핑, 센텀시티, 포토부스, 이벤트"
엔터테인먼트,마이페이보릿 시네마 스토어,24.04.26 - 24.05.09,24.04.26,24.05.09,용산,서울특별시 용산구 한강대로23길 55 용산역 용산 아이파크몰 6층,"마이페이보릿, 영화, 시네마, 굿즈, 쇼핑, 용산, 이벤트, 음반, 앨범, 사운드트랙"
엔터테인먼트,BTS POP-UP : MONOCHROME,24.04.26 - 24.05.12,24.04.26,24.05.12,성수,서울특별시 성동구 성수일로4길 12 AP AGAIN,"방탄소년단, BTS, 아이돌, 가수, 빅히트, 추억, 기억, 굿즈, 위버스, 하이브"
패션/잡화,브라운브레스 팝업 in 동탄,24.04.26 - 24.05.05,24.04.26,24.05.05,기타,경기도 화성시 동탄역로 160 동탄역 롯데캐슬 롯데백화점 동탄점 4층,"브라운브레스, 패션, 쇼핑, 이벤트, 증정, 사은품, 동탄"
패션/잡화,네파 서프 클럽 팝업,24.04.26 - 24.05.06,24.04.26,24.05.06,성수,서울특별시 성동구 연무장1길 7-1 공간 와디즈,"네파, 서프클럽, 여름, 패션, 쇼핑, 옷, 이벤트, 경품, 론체어, 의자"
패션/잡화,마크엠X순이지 팝업스토어,24.04.26 - 24.05.06,24.04.26,24.05.06,성수,서울특별시 성동구 연무장17길 2,"마크엠, 순이지, 여름, 패션, 쇼핑, 옷, 할인, 이벤트, 사은품"
패션/잡화,브라운브레스 팝업 in 울산,24.04.26 - 24.05.09,24.04.26,24.05.09,기타,울산광역시 남구 삼산로 261 현대백화점 울산점 6층,"브라운브레스, 패션, 쇼핑, 이벤트, 증정, 사은품, 울산"
패션/잡화,YELLOW MAGIC 팝업스토어 in 용리단길,24.04.26 - 24.05.26,24.04.26,24.05.26,용산,서울특별시 용산구 한강대로40길 9 e편한모텔 쏠티캐빈 화이트,"마크곤잘레스, 라인프렌즈, 콜라보, 패션, 쇼핑, 옷, 캐릭터, 굿즈, 이벤트, 포토존"
캐릭터/IP,탄광마을의 흰둥이 팝업스토어,24.04.26 - 24.05.06,24.04.26,24.05.06,용산,서울특별시 용산구 한강대로23길 55 용산역 용산 아이파크몰 6층 더 코너,"짱구는못말려, 흰둥이, 애니메이션, 만화, 캐릭터, 굿즈, 쇼핑, 용산, 포토존, 게임, 이벤트"
캐릭터/IP,별별춘식 팝업스토어,24.04.26 - 24.05.08,24.04.26,24.05.08,강남,서울특별시 서초구 신반포로 176 센트럴시티 신세계백화점 강남점 B1F 파미에스트리트,"춘식이, 카카오프렌즈, 카카오톡, 이모티콘, 캐릭터, 고양이, 굿즈, 다꾸, 이벤트, 사전예약, 포토존"
